Year,Total economic damages
1900,240000000.0
1901,0.0
1902,200000000.0
1903,3840000000.0
1904,0.0
1905,390400000.0
1906,5152000000.0
1907,240000000.0
1908,1160000000.0
1909,0.0
1910,0.0
1911,160000000.0
1912,280000000.0
1913,1600000000.0
1914,160000000.0
1915,1088000000.0
1916,0.0
1917,400000000.0
1918,1032000000.0
1919,200000000.0
1920,320000000.0
1921,0.0
1922,64000000.0
1923,4880000000.0
1924,0.0
1925,322000000.0
1926,770000000.0
1927,497840000.0
1928,600000000.0
1929,330000000.0
1930,490000000.0
1931,11580000000.0
1932,240000000.0
1933,332000000.0
1934,400000000.0
1935,64000000.0
1936,168000000.0
1937,3504000000.0
1938,2448000000.0
1939,7520000000.0
1940,364000000.0
1941,400000000.0
1942,20000000.0
1943,8320000000.0
1944,1600000000.0
1945,4040000000.0
1946,204000000.0
1947,1040000000.0
1948,8322000000.0
1949,833600000.0
1950,1808000000.0
1951,12826000000.0
1952,1143200000.0
1953,8653040000.0
1954,7127500000.0
1955,7056000000.0
1956,200000000.0
1957,1560000000.0
1958,4240800000.0
1959,5462600000.0
1960,14802246041.6
1961,3843200401.41
1962,11192000015.99
1963,12992720150.102
1964,19165600018.0353
1965,19542944021.9641
1966,26246648033.0852
1967,12798356082.3117
1968,8559104034.9833
1969,19156192102.9088
1970,26263752049.7639
1971,14044312010.4093
1972,34923304223.3548
1973,21110344029.959198
1974,31875552129.878998
1975,25334360006.075
1976,120403112095.024
1977,83193528051.758
1978,49183256039.6132
1979,34808880201.673996
1980,304899664284.844
1981,115505728030.5321
1982,78097144164.20999
1983,142908304228.6
1984,74992736048.094
1985,137116136319.15623
1986,113881824138.7893
1987,128523320146.11
1988,183516456128.6162
1989,220210320152.3119
1990,426582976389.6551
1991,295025688518.5936
1992,445772178148.677
1993,413751192152.1985
1994,590669244056.7839
1995,1244646080444.4617
1996,348062144331.2331
1997,345121968064.0954
1998,695211456520.9059
1999,943928788118.2937
2000,391129288168.5288
2001,219852412158.6873
2002,457059638064.6943
2003,594279304098.2139
2004,1095407188565.8228
2005,1745706126180.6765
2006,266640056027.85
2007,614040890106.8884
2008,1534285950212.2917
2009,391721144078.842
2010,1087419176233.9536
2011,2915066216073.83
2012,1289440708062.333
2013,1006762312070.9873
2014,792504740047.1891
2015,705256994398.453
2016,1509835164094.9565
2017,2623284815142.6
2018,1075090732015.7291
2019,813469024098.81
2020,1426093950158.7559
2021,2157923546098.7812
2022,1793980690000.0
2023,776358722000.0
