state,code,temp
Alabama,AL,0.1947
Arizona,AZ,2.356
Arkansas,AR,0.4142
California,CA,2.038
Colorado,CO,2.27
Connecticut,CT,2.86
Delaware,DE,2.73
Florida,FL,2.272
Georgia,GA,0.756
Idaho,ID,1.707
Illinois,IL,1.206
Indiana,IN,1.164
Iowa,IA,1.063
Kansas,KS,1.423
Kentucky,KY,0.57
Louisiana,LA,0.478
Maine,ME,2.9
Maryland,MD,2.29
Massachusetts,MA,2.73
Michigan,MI,2.51
Minnesota,MN,2.38
Mississippi,MS,0.104
Missouri,MO,0.79
Montana,MT,1.95
Nebraska,NE,1.44
Nevada,NV,2.161
New Hampshire,NH,2.66
New Jersey,NJ,3.32
New Mexico,NM,1.87
New York,NY,2.18
North Carolina,NC,1.168
North Dakota,ND,2.288
Ohio,OH,1.534
Oklahoma,OK,0.339
Oregon,OR,2.171
Pennsylvania,PA,2.05
Rhode Island,RI,3.349
South Carolina,SC,0.9
South Dakota,SD,1.94
Tennessee,TN,0.516
Texas,TX,1.089
Utah,UT,2.15
Vermont,VT,2.688
Virginia,VA,1.436
Washington,WA,1.55
West Virginia,WV,1.206
Wisconsin,WI,2.037
Wyoming,WY,2.149
